time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-08T17:32:55.050Z,38.840332,-122.8255005,1.77,0.86,md,7,107,0.007991,0,nc,nc73650430,2021-11-08T17:34:29.772Z,"9km WNW of Cobb, CA",earthquake,0.49,1.3,,1,automatic,nc,nc
2021-11-08T17:32:44.720Z,39.4251667,-110.301,-2.27,1.82,md,10,220,0.0187,0.15,uu,uu60467207,2021-11-08T21:19:54.080Z,"15 km SSE of Sunnyside, Utah",earthquake,0.57,1.41,0.279,7,reviewed,uu,uu
2021-11-08T17:32:06.570Z,52.3266666666667,-174.1655,2.51,0.58,ml,7,117,,0.2,av,av91410566,2021-11-09T01:50:09.940Z,"14 km N of Atka, Alaska",earthquake,0.52,1.22,0.292333274765247,7,reviewed,av,av
2021-11-08T17:23:33.299Z,62.646,-151.665,11.4,1.3,ml,,,,0.65,ak,ak021ec9xnef,2021-11-08T17:47:28.567Z,"49 km WNW of Petersville, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-11-08T17:18:38.630Z,38.8089981,-122.8195038,3.05,0.49,md,11,84,0.007559,0.02,nc,nc73650425,2021-11-08T17:20:16.936Z,"6km WNW of The Geysers, CA",earthquake,0.39,1.16,0.35,2,automatic,nc,nc
2021-11-08T17:13:03.490Z,19.166166305542,-155.46516418457,32.9900016784668,2.24000001,md,43,96,,0.140000001,hv,hv72787642,2021-11-08T17:18:44.950Z,"4 km SSE of Pāhala, Hawaii",earthquake,0.55,0.769999981,1.84000003,18,automatic,hv,hv
2021-11-08T17:12:10.843Z,65.5664,-166.2987,10,2.2,mb_lg,,152,0.699,1,us,us7000fsfi,2021-11-08T20:52:47.040Z,"27 km NNE of Brevig Mission, Alaska",earthquake,4,1.8,0.208,6,reviewed,us,us
2021-11-08T16:58:37.610Z,38.8209991,-122.8028336,3.33,0.84,md,9,65,0.006141,0.01,nc,nc73650420,2021-11-08T17:27:12.931Z,"6km NW of The Geysers, CA",earthquake,0.43,1.44,,1,automatic,nc,nc
2021-11-08T16:47:59.540Z,38.8343315,-122.8183365,1.7,0.85,md,8,81,0.01268,0,nc,nc73650415,2021-11-08T18:20:12.267Z,"8km NW of The Geysers, CA",earthquake,0.45,1.25,,1,automatic,nc,nc
2021-11-08T16:35:57.272Z,61.7,-148.7963,163.2,2,ml,,,,0.9,ak,ak021ec9eu8f,2021-11-08T16:39:00.931Z,"8 km S of Sutton-Alpine, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-11-08T16:33:32.610Z,38.8203316,-122.7965012,2.79,0.21,md,11,90,0.01103,0.01,nc,nc73650410,2021-11-08T16:52:12.727Z,"6km NW of The Geysers, CA",earthquake,0.39,1,0.14,2,automatic,nc,nc
2021-11-08T16:27:20.875Z,27.7409,139.9831,499.27,4.1,mb,,56,2.059,0.41,us,us7000fsf7,2021-11-08T17:41:40.040Z,"Bonin Islands, Japan region",earthquake,9.7,8.4,0.047,124,reviewed,us,us
2021-11-08T16:15:15.830Z,47.868,-121.922666666667,11.7,1.69,ml,9,121,0.08076,0.19,uw,uw61501883,2021-11-08T19:07:47.410Z,"2 km WSW of Woods Creek, Washington",earthquake,0.52,1.54,0.163573037377006,4,reviewed,uw,uw
2021-11-08T16:15:09.870Z,47.88,-121.897666666667,2.78,1.83,ml,9,134,0.1011,0.22,uw,uw61795576,2021-11-08T19:10:48.240Z,"0 km NNE of Woods Creek, Washington",earthquake,0.55,0.89,0.219096072939496,4,reviewed,uw,uw
2021-11-08T16:15:02.908Z,37.1128,140.4117,47.69,4.7,mb,,102,1.856,0.34,us,us7000fsf4,2021-11-08T23:31:55.126Z,"5 km SW of Ishikawa, Japan",earthquake,7.5,6.7,0.035,250,reviewed,us,us
2021-11-08T16:11:37.230Z,34.1655,-117.4286667,4.88,0.82,ml,22,77,0.1359,0.13,ci,ci39852031,2021-11-08T18:56:53.854Z,"7km SSW of Devore, CA",earthquake,0.22,0.56,0.05,8,reviewed,ci,ci
2021-11-08T16:10:46.821Z,38.442,-118.33,7.4,0.6,ml,10,222.67,0.009,0.1493,nn,nn00827695,2021-11-08T23:46:28.984Z,"20 km WNW of Mina, Nevada",earthquake,,1.1,0.24,3,reviewed,nn,nn
2021-11-08T16:02:50.573Z,-25.6398,-178.4354,342.92,4.5,mb,,127,3.637,0.6,us,us7000fsf0,2021-11-08T16:39:38.040Z,"south of the Fiji Islands",earthquake,11.4,7.4,0.058,88,reviewed,us,us
2021-11-08T16:00:43.269Z,69.5946,-144.2617,10,2.6,ml,,115,0.195,0.24,us,us7000fsex,2021-11-08T16:42:37.040Z,"64 km SSW of Kaktovik, Alaska",earthquake,3.8,2,0.057,40,reviewed,us,us
2021-11-08T15:59:17.490Z,43.2698333,-110.2156667,6.01,1.5,ml,9,158,0.436,0.24,mb,mb80529604,2021-11-08T16:54:44.220Z,"17 km ENE of Bondurant, Wyoming",earthquake,0.98,15.63,0.098,6,reviewed,mb,mb
2021-11-08T15:57:02.513Z,38.559,-119.4571,6.6,0.7,ml,12,88.07,0.056,0.1001,nn,nn00827663,2021-11-08T21:32:05.153Z,"4 km E of Coleville, California",earthquake,,2.6,0.29,3,reviewed,nn,nn
2021-11-08T15:53:07.835Z,61.4816,-149.8781,33.4,1.3,ml,,,,0.5,ak,ak021ec8x5pb,2021-11-08T16:26:19.374Z,"6 km SE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-11-08T15:49:41.530Z,51.9881666666667,179.714,0.69,1.57,ml,6,275,,0.17,av,av91410441,2021-11-09T01:45:07.700Z,"251 km W of Adak, Alaska",earthquake,0.8,4.78,0.149824687447334,6,reviewed,av,av
2021-11-08T15:41:22.630Z,19.3185005187988,-155.204162597656,0.899999976158142,1.75999999,md,29,119,,0.170000002,hv,hv72787562,2021-11-08T15:44:40.160Z,"14 km SSE of Volcano, Hawaii",earthquake,0.41,0.5,0.5,21,automatic,hv,hv
2021-11-08T15:34:04.230Z,39.4243333,-110.3045,-1.95,1.65,md,8,220,0.01596,0.15,uu,uu60467202,2021-11-08T20:08:03.740Z,"15 km SSE of Sunnyside, Utah",earthquake,0.96,0.87,0.254,7,reviewed,uu,uu
